positive,'USER_NNP love_NN audio_NN book_NN \'the_PRP art_NN war_NN \'_POS sun_NN tzu_NNS read_VBP jim_VBG white_JJ mountainsandsea_NN'
negative,'actual_JJ motives_NNS behind_IN mdp_NN \'s_POS request_NN join_VB government_NN'
negative,'know_VB \'m_VBP 4th_JJ season_NN oth_CC understand_VB everyone_NN loves_VBZ lucas_JJ scott_NN pisses_NNS'
negative,'think_VB plans_NNS tomorrow_RB smart_JJ considering_VBG sat_VBD \'s_PRP next_JJ day_NN well_RB yolo_.'
positive,'USER_NNP amsterdam_NN tomorrow_NN jacco_NN'
positive,'rt_NN USER_NNP rt_NNP USER_NNP way_NN home_NN 1st_JJ day_NN mts11_VBD great_JJ time_NN USER_NNP USER_NNP others_NNS mv_.'
negative,'can_MD make_VB photo_NN albums_NNS photos_NNS app_VBD ios_NNS 5_CD ca_MD password_VB protect_VB um_PRP USER_NNP fix_VB quickly_RB'
negative,'disappointed_JJ knicks_NNS vs_IN nets_NNS game_NN got_VBD canceled_VBN tonight_RB \'m_VBP even_RB hyped_VBD knicks_NNS vs_IN heat_NN friday_NN'
positive,'android_CC 4_CD 0_CD finally_RB includes_VBZ photo_JJ editing_NN tools_NNS google_VBP android_JJ ics_NNS'
positive,'game_NN 3_CD tomorrow_NN \'m_VBP excited_VBN shit_NN coming_VBG pro_FW bowl_NN haha_NN'
negative,'really_RB thought_VBD hisd_PRP school_NN tomorrow_NN christopher_NN columbus_NN day_NN'
positive,'USER_NNP forget_VB dook_NN now_RB series_NN anyways_RB let_VB \'s_POS beat_VB state_NN saturday_NN continue_VBP a_DT succesful_JJ season_NN'
positive,'lol_NN deadskins_NNS just_RB signed_VBD another_DT kicker_NN'
positive,'wearing_VBG jedpower_NN band_NN football_NN today_NN won_VBD away_RB since_IN january_NNP let_VB \'s_PRP see_VB goes_VBZ d_VBN USER_.'
negative,'even_RB power_NN point_NN tok_NN want_VBP anything_NN today_RB changed_VBD language_NN friday_NN tokadventures_NNS pic_NN twitter_NN com_NN ulo1svp5_.'
positive,'USER_NNP dr_VBD mohamed_VBN morsi_NNS announced_VBD egypt_NN \'s_POS 1st_JJ elected_VBN president_NN glorious_JJ 25th_JJ jan_NN revolution_NN congratulations_NNS egypt_.'
positive,'im_PRP enjoying_VBG celebrity_NN juice_NN instead_RB sleep_VB going_VBG fooked_VBN tomorrow_NN though_IN'
negative,'ate_VBD mcdonald_NN \'s_POS feel_NN guilty_JJ \'m_VBP goin_VBG 24_CD hour_NN 2_CD az_NN tomorrow_NN go_VBP try_VBP make_VB life_NN better_RBR'
negative,'sister_NN rubbing_VBG face_NN fact_NN school_NN tomorrow_NN ulazysackofshit_NN thalia_IN love_NN though_IN lmao_NN'
negative,'USER_NNP \'s_POS iphone_NN 4_CD giving_VBG a_DT hella_NN hard_JJ time_NN w_WRB ios5_DT update_NN USER_NN'
negative,'cofield_NN hopped_VBD dm_JJ sticks_NNS 3rd_VBD year_NN niggas_RB tired_VBN lol_NN'
negative,'arianators_NNS please_VBP help_VB \'m_VBP a_DT girl_NN \'s_POS body_NN sore_NN just_RB asking_VBG ariana_NN jennette_NN \'s_POS goodluck_NN tomorrow_NN please_VB'
negative,'USER_NNP USER_NNP 3rd_VBD o_IN thought_VBD careless_JJ world_NN 1st_VBD one_CD'
positive,'ca_MD wait_VB raid_NN cvs_NNS tomorrow_NN discounted_VBD candy_NN halloween_NN'
positive,'cnt_NN get_VBP shit_VBN lol_JJ hell_NN naw_NN twitter_NN'
