positive,'USER would love audio book \'the art war\' sun tzu read jim white mountainsandsea'
negative,'actual motives behind mdp\'s request join government'
negative,'know i\'m only 4th season oth but don\'t understand why everyone loves lucas scott he pisses me off'
negative,'don\'t think my plans tomorrow smart considering have sat\'s next day well yolo'
positive,'USER you amsterdam tomorrow jacco'
positive,'rt USER rt me too USER my way home 1st day mts11 had great time USER USER and others mv'
negative,'you can make photo albums photos app ios 5 but can\'t password protect them um USER fix quickly'
negative,'disappointed knicks vs nets game got canceled tonight but i\'m even more hyped knicks vs heat friday'
positive,'android 4 0 finally includes photo editing tools google android ics'
positive,'game 3 tomorrow i\'m excited shit than coming pro bowl haha'
negative,'really thought hisd didn\'t have school tomorrow because christopher columbus day'
positive,'USER forget dook now we own series anyways let\'s beat state saturday we continue succesful season'
positive,'lol deadskins just signed another kicker'
positive,'wearing my jedpower band football today we haven\'t won away since january let\'s see goes d USER'
negative,'even our power point tok didn\'t want do anything today so changed language friday tokadventures pic twitter ulo1svp5'
positive,'USER dr mohamed morsi announced egypt\'s 1st elected president after glorious 25th jan revolution congratulations egypt'
positive,'im enjoying celebrity juice instead sleep going fooked tomorrow though'
negative,'ate mcdonald\'s and feel guilty so i\'m goin 24 hour 2 then az tomorrow go and try and make my life better'
negative,'sister rubbing my face fact she has no school tomorrow and do ulazysackofshit thalia its all love though lmao'
negative,'so USER \'s iphone 4 giving her hella hard time w ios5 update USER'
negative,'cofield should have hopped off dm sticks after his 3rd year niggas tired him lol'
negative,'arianators please help me i\'m girl who\'s body very sore and just asking ariana jennette\'s goodluck tomorrow please'
negative,'USER USER 3rd o have been thought careless world 1st one no'
positive,'can\'t wait raid cvs tomorrow discounted candy halloween'
positive,'cnt get over shit lol hell naw twitter'
negative,'rt USER apple eclipsed microsoft URL lt microsoft\'s future corporate world not consumer'
positive,'dr mohamed morsi announced egypt\'s 1st elected president after glorious 25th jan revolution congratulations egypt'
negative,'all know marana girls bad fuck and white if ones party went jaylon saturday were marana tigers'
negative,'valor official screwed tomorrow audis and bmws aren\'t good snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch new birthday party super bowl sunday treat URL'
positive,'russell howard then cuckoo then celebrity juice then family guy thursday night best night comedy'
positive,'my sis won tickets jonas brothers concert USER canning monday'
positive,'egypt\'s morsi gets red carpet welcome iran tehran aug 29 egypt\'s mohamed morsi iran first visit URL'
negative,'boo no googlemusic news us carrier news price points google ics android'
negative,'open letter steve ballmer please retire forbes please retweet msft needs techie leader URL microsoft ballmer'
positive,'wish maddie luck next saturday she has solo audition britain\'s got talent ellie xxxxx'
