@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'user_noun i would love_verb the audio_adjective book_noun \'the art_noun of war_noun \' by sun_noun tzu_noun as read_verb by jim_verb white_adjective mountainsandsea_noun'
negative,'i know_verb i \'m_verb only_adverb on the 4th_adjective season_noun of oth_adjective but i not_adverb understand_verb why everyone_noun love_verb lucas_noun scott_noun he piss_verb me off'
negative,'i not_adverb think_verb my plan_noun for tomorrow_noun be_verb smart_adjective consider_verb i have_verb sit_verb \'s the next_adjective day_noun well_adverb yolo'
positive,'user_noun be_verb you in amsterdam_noun tomorrow_noun jacco_noun'
positive,'rt_noun user_noun rt_noun me too_adverb user_noun on my way_noun home_noun from 1st_adjective day_noun of mt_noun have_verb great_adjective time_noun with user_noun user_noun and others_noun mv'
negative,'you can make_verb photo_noun album_noun in the photo_noun app_verb with io_noun 5 but not_adverb password_verb protect_verb them um user_noun fix_verb that quickly_adverb'
negative,'disappoint_verb the knicks_noun vs net_noun game_noun get_verb cancel_verb tonight_adverb but i \'m_verb even_adverb more_adverb hyped_adjective for knicks_noun vs_adjective heat_noun on friday_noun'
positive,'android 4 0 finally_adverb include_verb photo_adjective editing_noun tool_noun google_verb android_adjective ic_noun'
positive,'game_noun 3 tomorrow_noun i \'m_verb excite_verb in this shit_noun than the come_verb pro bowl_noun haha_noun'
negative,'i really_adverb think_verb hisd not_adverb have_verb school_noun tomorrow_noun because it be_verb christopher_noun columbus_noun day_noun'
positive,'user_noun forget_verb about dook_noun now_adverb we own_verb that series_noun anyways_adverb let_verb \'s beat_verb state_noun this saturday_noun as we continue_verb on to a succesful_adjective season_noun'
positive,'lol_verb the deadskins_noun just_adverb sign_verb another kicker_noun'
positive,'wear_verb my jedpower_noun band_noun to football_noun today_noun we not_adverb win_verb away since january_noun let_verb \'s see_verb how it go_verb HAPPYSMILEY_noun user_noun'
negative,'even_adverb our power_noun point_noun in tok_noun not_adverb want_verb to do_verb anything_noun today_adverb so it change_verb the language_noun friday_noun tokadventures_noun pic_noun twitter_noun com_noun ulo1svp5'
positive,'user_noun dr_noun mohamed_verb morsi_adverb announce_verb as egypt_noun \'s 1st_adjective elect_verb president_noun after the glorious_adjective 25th_adjective of jan_noun revolution_noun congratulations_noun to egypt_verb'
positive,'im enjoy_verb celebrity_noun juice_noun instead_adverb of sleep_noun go_verb to be_verb fooked_verb tomorrow_noun though'
negative,'eat_verb mcdonald_noun \'s and feel_verb guilty_adjective so i \'m_verb goin_verb to 24 for an hour_noun or 2 then_adverb to az_noun tomorrow_noun go_verb and try_verb and make_verb my life_noun better_adverb'
