@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'@skysportsnews i would love the audio book \'the art of war\' by sun tzu  as read by jim white!! #mountainsandsea'
negative,'what is the actual motives behind mdp\'s request to join the government ??'
negative,'i know i\'m only on the 4th season of oth  but i don\'t understand why everyone loves lucas scott. he pisses me off.'
negative,'i don\'t think my plans for tomorrow are smart considering i have sat\'s the next day  well yolo'
positive,'@jaccogardner are you in amsterdam tomorrow jacco?'
positive,'rt @dariuszporowski: rt me too! @rem8: on my way home from 1st day of #mts11. had great time with @alead @dariuszporowski and others #mv ...'
negative,'you can make photo albums in the photos app with ios 5  but can\'t password protect them? um... @apple  fix that. quickly.'
negative,'disappointed the knicks vs nets game got canceled tonight  but i\'m even more hyped for knicks vs heat on friday!'
positive,'android 4.0 finally includes photo editing tools. #google #android #ics'
positive,'game 3 tomorrow!!! i\'m excited in this shit than the coming pro bowl haha'
negative,'i really thought hisd didn\'t have school tomorrow because it was christopher columbus day.'
positive,'@bryn2renner forget about dook now we own that series anyways! let\'s beat state this saturday as we continue on to a succesful season.'
positive,'lol the deadskins just signed another kicker'
positive,'wearing my jedpower band to football today. we haven\'t won away since january. let\'s see how it goes. :d @planetjedward'
negative,'even our power point in tok didn\'t want to do anything today  so it changed the language. #friday #tokadventures pic.twitter.com/ulo1svp5'
positive,'@maherzain: dr mohamed morsi announced as egypt\'s 1st elected president after the glorious 25th of jan revolution. congratulations to #egypt'
positive,'im enjoying celebrity juice instead of sleep  going to be fooked tomorrow though'
negative,'ate mcdonald\'s and feel guilty so i\'m goin to 24 for an hour or 2  then to az tomorrow  go and try and make my life better'
negative,'sister is rubbing it in my face the fact that she has no school tomorrow and i do  #ulazysackofshit thalia its all love though lmao'
negative,'so @phoenixswinger \'s iphone 4 is giving her a hella hard time w/ the ios5 update @apple'
negative,'cofield should have hopped off the dm sticks after his 3rd year. niggas was tired of him lol'
negative,'arianators please help me. i\'m a girl who\'s body is very sore and just asking for ariana & jennette\'s goodluck for tomorrow. please :('
negative,'@egyptianlover_ @tyga 3rd??! :o where have i been i thought careless world was the 1st one. no?'
positive,'can\'t wait to raid cvs tomorrow for the discounted candy. #halloween'
positive,'i cnt get over that shit lol hell naw #twitter'
negative,'rt @guardiantech: how #apple eclipsed #microsoft http://t.co/gk6yjtfy &lt;- microsoft\'s future is in the corporate world  not consumer'
positive,'dr. mohamed morsi announced as egypt\'s 1st elected president after the glorious 25th of jan revolution. congratulations to #egypt'
negative,'all i know is marana girls are bad as fuck and white if the ones at the party i went to with jaylon on saturday were marana tigers.'
negative,'valor is official screwed tomorrow.. audis and bmws aren\'t good in the snow.... #valorproblems #richkidproblems #letsgetoursecondcarsout'
positive,'#entrepreneur #angelinvestor pitch in on the new birthday party / super bowl sunday treat http://www.indiegogo.com/projects/265398 '
positive,'russell howard  then cuckoo  then celebrity juice  then family guy  thursday night is the best night for comedy'
positive,'my sis won tickets for the jonas brothers concert @ fort canning on monday....'
positive,'egypt\'s morsi gets red carpet welcome in iran: tehran  aug 29: egypt\'s mohamed morsi is in iran for the first visit... http://goo.gl/bt6il '
negative,'boo to no googlemusic news  us carrier news  or price points. #google #ics #android'
negative,'open letter: steve ballmer  please retire - forbes - please retweet! #msft needs a techie leader. http://t.co/e8umrmro #microsoft #ballmer'
positive,'wish maddie luck next saturday  she has a solo audition for britain\'s got talent! :) ~ ellie xxxxx'
negative,'#microsoft fail #notresponding for fcucks sake  http://t.co/lcxa9q8p'
positive,'http://www.byfarthegreatestteam.com/posts/super-sandro-superb-for-spurs/ … my profile of sandro. i do kind of love him.'
negative,'@apple give me my apps back!!!'
negative,'what\'s worse than being stuck in a time loop of groundhog day? being stuck in a monday loop.'
positive,'14 feb 2011 - happy valentine\'s day everybody. i\'m going to buy cookies and stuff myself full.'
positive,'so yeah... @apple #ios5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.'
positive,'four -- now three -- tweets away from 9000. here\'s where i mention that i\'m pouring wine for a friday night with diablo iii. #meta #classy'
negative,'if u already seen taken 2  tell me how was it!'
positive,'heat vs knicks first round of playoffs tomorrow!!! #lebron#wade better bring it!!!'
positive,'@meagan_cassidy im jealous of your hair..haha just sayingg'
negative,'@apple @iphone please deliver my daughter\'s i4s  she is driving me nuts #iphone'
negative,'@llcoolj these people cannot know who mick jagger is...you ain\'t old  old skool maybe but c\'mon! mick jagger has a lot more years than you!'
negative,'oh no she didn\'t! bgv rt@merfreistroffer: i can\'t wait to make @c_lassyy listen to two hours of taylor swift during our drive tomorrow.'
positive,'premier league: west ham v man city on saturday. our preview looks at the stats & has some interesting betting tips: http://www.betting.me/west-ham-v-man-city-betting-tips-preview/ …'
positive,'there is on thing i have learned from the mlb playoffs  cougar town on a new network. i can\'t wait till january. #poundinggrape #pennycan!!!'
positive,'@discoveryuk #halloween good .. and who is the 3rd? valentine\'s day? or ?'
negative,'ghost rider: spirit of vengeance was a lost cause. you had nowhere to go but up after the 1st movie. and then you decided to dig a hole...'
negative,'fuck u @apple'
negative,'obviously  i am not a fan of dream high 2 and i haven\'t even watched it! well  i watched the 1st ep that\'s where i heard that song!^^'
negative,'#google apps vs. #microsoft #office 365: it is clear that google apps should be the top choice http://t.co/kdtd4zre'
negative,'#samsung  #google unveil phone http://t.co/hob37hbo'
negative,'had ma ipas not 24 hours an i jailbroke it...now its shagged itunes won\'t letme restore it @apple sym!!!!'
positive,'i\'m starting to get really concerned  sending hashtags in emails :p #twitter is taking over our lives :d'
negative,'being in amsterdam this early on a friday morning is not my ideal  i just want to get home!'
positive,'good to see flacco showing some fight in the 2nd half. that\'s about all i can ask for at this point.'
negative,'this may be a reason to swap  ios has too many daft games. android is a desolate wasteland when it comes to games. http://www.wired.co.uk/news/archive/2012-10/31/android-games …'
positive,'i played rugby yesterday may have broken my finger but it was definitely worth the pain the game is more fun than i remember'
negative,'@kruddmp listed as star attraction for aust-china event today. rudd\'s office say he never committed  pr in charge says he cancelled friday.'
negative,'apple ceo apologizes for error-ridden new map app: apple ceo tim cook apologized friday for the company\'s error-ridden new mobile map...'
negative,'this. rt @bonkoif looks like @apple did not appropriately project the resources needed for siri. not very reliable'
negative,'ghost rider 2 is pretty shit.. i liked the 1st one in all honesty but the 2nd is badly directed.. the shaky camera style is disorientating'
negative,'@apple u guys are gay'
negative,'@xochilihcox c\'mon leo where\'s endymion....... or amsterdam i know he likes amsterdam. those songs are shit compared to the ones i put'
positive,'@apple siri is amazing'
negative,'is this cif piece meant to be funny? i mean  other than in the unintentional sense of being ironically humourless http://www.guardian.co.uk/commentisfree/2012/oct/30/how-funny-twitter-austin-mitchell …'
negative,'after i tweeted about @mtlgazette gary carter photo #facepalm  they removed the mets photo. 2nd choice almost as bad  kid holding mets cap.'
positive,'#twitition mcfly come back to argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo '
positive,'“@joelpollak: \'no red tape\'? new jersey turns away nonunion relief crews http://shar.es/cbvdr  via @breitbartnews” @govchristie hmmm'
negative,'good evening everyone! all cost and warm here and pork chops in the oven! #wlf'
negative,'this is kind of really creepy: use your search engine the same way as @mileycyrus would http://t.co/a050tg4l . . . #microsoft'
negative,'@apple cu'
positive,'just whooped some ass in kill confirmed with @quikgunz and @pbrasfieldato  tomorrow its back to makin kats cry in gears3'
positive,'yay bruno mars is coming out with a new album on december 11th.(; i must have it!!'
positive,'sat at work and i have the will ferrell boxset with me...might put a film on or have a power nap or sit here doing nothing; that sounds good'
negative,'rt @scottdugas: warning: if iphone apps spontaneously loose data  it might not be the app\'s fault - http://t.co/1sesvwwm #ios5downgrade  ...'
positive,'#kinect makes learning playful with help from #sesamestreet and #nationalgeographic #education #microsoft http://t.co/e5uhka8f'
negative,'@apple thank you for sucking so much. i cannot believe you would sell something online that isn\'t made'
negative,'wilth #accessibility mode on in #sharepoint 2010  it seems that #workflows sometimes do not start automatically #sp2010 #workflow #microsoft'
positive,'ipads replace bound playbooks on some n.f.l. teams http://t.co/2uxawkwf @apple @nytimes'
positive,'come to the dark side 📱“@gretcheneclark: hey @apple  if you send me a free iphone  i will publicly and ceremoniously burn my #blackberry.”'
negative,'@ryanbaldwin @apple so in itunes i go store -&gt; authorise… why doesn\'t it just auto-authorise it when i sign into itunes? grrrr...'
positive,'lady boner from channing tatum in the vow right now and the fact that i get mcdonald\'s breakfast tomorrow with @megnoel5250 #winning'
positive,'welcome nick j! :) @nickjonas in manila! so excited for the show on friday.'
positive,'saturday\'s ufc on fuel tv looks a lot better than the scheduled undercard of ufc 151. no surprise 151 got cancelled. http://www.ufc.com/event/fuel5#/fight …'
negative,'@nickthefnicon he can send but not rcve txts so he has an apt @apple at 4pm.then he exclaims: and i waited a whole year for this phone!!lmao'
positive,'met @kfreberg via google+ hangout on wednesday! so cool to meet someone that you\'ve actually cited in paper :)'
positive,'loving #ios5 !! #awesome @apple'
positive,'uh football boys... win tomorrow so we can run it in becky\'s face that she wasn\'t there.'
positive,'november: my birthday month  election day  a weekend in san fran with @adamrgarcia  naples for thanksgiving  lots of friends & family. yes.'
positive,'finally in bed. such a long day  but so much was accomplished. athens tomorrow!!'
