@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'user_noun i love_noun audio_noun book_noun \'the art_noun war_noun \' sun_noun tzu_noun read_verb jim_verb white_adjective mountainsandsea_noun'
negative,'i i \'m_verb 4th_adjective season_noun oth i not_understand_noun love_verb lucas_noun scott_noun piss_noun'
negative,'i not_think_adjective plan_noun tomorrow_noun smart_adjective i sit_verb \'s day_noun yolo'
positive,'user_noun amsterdam_noun tomorrow_noun jacco_noun'
positive,'rt_noun user_noun rt_noun user_noun home_noun 1st_adjective day_noun mts11_verb great_adjective time_noun user_noun user_noun mv'
negative,'photo_noun album_noun photo_noun app_verb io_noun 5 password_noun protect_verb um user_noun fix_verb quickly_adverb'
negative,'disappointed_adjective knicks_noun net_verb game_noun cancel_verb tonight_adverb i \'m_verb hype_verb knicks_noun heat_noun friday_noun'
positive,'android 4 0 finally_adverb include_verb photo_adjective editing_noun tool_noun google_verb android_adjective ic_noun'
positive,'game_noun 3 tomorrow_noun i \'m_verb excite_verb shit_noun come_verb pro bowl_noun haha_noun'
negative,'i think_verb hisd not_have_adjective school_noun tomorrow_noun christopher_noun columbus_noun day_noun'
positive,'user_noun forget_verb dook_noun series_noun \'s beat_adjective state_noun saturday_noun continue_verb a succesful_adjective season_noun'
positive,'lol_adjective deadskins_noun sign_verb kicker_noun'
positive,'wear_verb jedpower_noun band_noun football_noun today_noun not_won january_noun \'s d_noun user_noun'
negative,'power_noun in_noun tok_noun not_not_to_noun today_noun change_verb language_noun friday_noun tokadventures_noun pic_noun twitter_noun ulo1svp5'
positive,'user_noun dr_verb mohamed_verb morsi_noun announce_verb egypt_noun \'s 1st_adjective elect_verb not_adverb glorious_adjective 25th_adjective jan_noun revolution_noun congratulations_noun egypt'
positive,'im enjoy_verb celebrity_noun juice_noun sleep_noun fooked_verb tomorrow_noun'
negative,'eat_verb mcdonald_noun \'s feel_noun guilty_adjective i \'m_verb goin_verb 24 hour_noun 2 az_noun tomorrow_noun life_noun'
negative,'sister_noun rub_verb face_noun fact_noun school_noun tomorrow_noun i ulazysackofshit thalia love_noun lmao_noun'
negative,'user_noun \'s iphone_noun 4 give_verb a hella_noun hard_adjective time_noun w ios5 update_noun user_noun'
negative,'arianators_noun i \'m_verb a girl_noun \'s body_noun sore_adjective ariana_noun jennette_noun \'s goodluck_noun tomorrow_noun'
negative,'user_noun user_noun 3rd_verb o i i think_verb careless_adjective world_noun 1st_verb not_adverb __verb'
positive,'wait_noun raid_noun cv_noun tomorrow_noun discount_verb candy_noun halloween_noun'
positive,'i get_noun shit_noun lol_noun hell_noun naw_noun twitter_noun'
negative,'rt_noun user_noun apple_noun eclipse_verb microsoft_adjective url_noun lt_noun microsoft_noun \'s future_adjective corporate_adjective world_noun consumer_noun'
positive,'dr_noun mohamed_verb morsi_noun announce_verb egypt_noun \'s 1st_adjective elect_verb not_adverb glorious_adjective 25th_adjective jan_noun revolution_noun congratulations_noun egypt'
negative,'i marana_noun girl_noun bad_adjective fuck_adjective white_adjective party_noun i not_to jaylon_noun saturday_noun marana_noun tigers_noun'
negative,'valor_noun official_adjective screw_verb tomorrow_noun audis_noun bmws_noun good_adjective snow_noun valorproblems_noun richkidproblems_noun letsgetoursecondcarsout'
positive,'entrepreneur_noun angelinvestor_noun pitch_noun birthday_noun party_noun super_noun bowl_noun sunday_noun treat_noun URL'
positive,'russell_adjective howard_adverb cuckoo_noun celebrity_noun juice_noun family_noun guy_noun thursday night_noun night_noun comedy_noun'
positive,'sis_noun win_verb ticket_noun jonas_noun brother_noun concert_noun user_noun canning_noun monday_noun'
positive,'egypt_noun \'s morsi_noun red_adjective carpet_noun iran_noun tehran_noun aug_verb 29 egypt_noun \'s mohamed_adjective morsi_noun iran visit_noun URL'
negative,'boo_noun not_googlemusic_noun news_noun carrier_noun news_noun price_noun point_noun google_adjective ic_noun android'
negative,'open_adjective letter_noun steve_noun ballmer_noun retire_verb forbes_noun retweet_verb msft_verb a techie_noun leader_noun url_noun microsoft_adjective ballmer_noun'
positive,'maddie_adjective luck_noun saturday_noun a solo_noun audition_noun nots_noun not_adverb xxxxx'
negative,'microsoft_adjective fail_verb notresponding_adjective fcucks_noun sake_noun URL'
positive,'URL_adverb profile_noun sandro_noun i_verb kind_adjective love_noun'
negative,'user_noun give_verb apps_noun'
negative,'\'s worse_adjective stick_verb a time_noun loop_noun groundhog_noun day_noun stick_verb a monday_noun loop_noun'
positive,'14 feb_noun 2011 happy_adjective valentine_noun \'s day_noun i \'m_verb buy_verb cookie_noun stuff_noun full_adjective'
positive,'yeah user_noun ios5 readinglists_noun change_verb life_noun nowicanspendevenmoretimeonmyphone'
positive,'tweet_noun 9000 \'s i_noun mention_noun i \'m_verb pour_verb wine_noun a friday_adjective night_noun diablo_noun iii meta_noun classy_noun'
negative,'u_noun 2'
positive,'heat_noun knicks_noun playoff_noun tomorrow_noun lebron_noun wade_noun bring_verb'
positive,'user_noun cassidy_noun im_noun jealous_adjective hair_noun haha_noun sayingg_verb'
negative,'user_noun user_noun deliver_verb daughter_noun \'s i_adjective drive_verb nut_noun iphone_noun'
negative,'user_noun people_noun not_adverb mick_adjective jagger_noun old_noun skool_noun c_noun \'mon_adjective mick_noun jagger_noun a lot_noun years_noun'
negative,'not_she not_bgv_noun rt_noun user_noun i wait_noun user_noun lassyy_adverb listen_verb hours_noun taylor swift_adjective drive_noun tomorrow_noun'
positive,'premier_noun league_noun west_adverb ham_noun man_noun city_noun saturday_noun preview_verb stats_noun interesting_adjective bet_verb tip_noun URL'
positive,'i_noun learn_verb mlb_noun playoff_noun cougar_noun town_noun a network_noun i wait_noun january_noun poundinggrape_noun pennycan_verb'
positive,'user_noun halloween good_adjective 3rd_adjective valentine_noun \'s day_noun'
negative,'ghost_noun rider_noun spirit_noun vengeance_noun a lose_verb 1st movie_noun decide_verb dig_verb a hole_noun'
negative,'fuck_verb u USER'
positive,'i love_noun brokeback_noun mountain_noun \'s great_adjective homosexuality_noun acceptable_adjective'
positive,'\'s \'yeah_adjective i_noun acne_noun i love_noun brokeback_noun mountain_noun \''
negative,'i not_a fan_noun dream_noun high_adjective 2 i_noun not_adverb watch_verb i watch_verb 1st ep_noun \'s i_noun hear_verb song_noun'
negative,'google_adjective apps_noun microsoft_adjective office_noun 365 clear_adjective google_noun apps top_adjective choice_noun URL'
negative,'samsung_adjective google_noun unveil_verb phone_noun URL'
negative,'ma_noun ipas_verb not_24 hours_noun i jailbroke_noun shagged_adjective itunes_noun not_adverb restore_verb user_noun sym_noun'
positive,'i \'m_verb start_verb concern_verb send_verb hashtags_verb email_noun p_verb twitter_verb life_noun d'
negative,'amsterdam_noun early_adverb a friday_noun morning_noun not_my_noun ideal_noun i not_to_noun home_noun'
positive,'good_adjective flacco_noun show_verb fight_noun nd_noun \'s i_noun not_adverb _'
negative,'a reason_noun swap_noun io_noun daft_adjective game_noun android a desolate_adjective wasteland_noun game_noun URL'
positive,'i play_verb rugby_noun yesterday_noun break_verb finger_noun worth_noun pain_noun game_noun fun_noun i_noun remember_verb'
negative,'apple_noun ceo_noun apologize_verb error_noun ridden_adjective map_noun app_noun apple_noun ceo_noun tim_noun cook_noun apologize_verb friday company_noun \'s error_noun ridden_adjective mobile_adjective map_noun'
negative,'rt_noun user_noun user_noun not_adverb project_noun resource_noun need_verb siri_adverb not_adverb reliable_adjective'
