@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'user i would love the audio book \'the art of war \' by sun tzu as read by jim white mountainsandsea'
negative,'i know i \'m only on the 4th season of oth but i not_understand why everyone love lucas scott he piss me off'
negative,'i not_think my plan for tomorrow be smart consider i have sit \'s the next day well yolo'
positive,'user be you in amsterdam tomorrow jacco'
positive,'rt user rt me too user on my way home from 1st day of mt have great time with user user and others mv'
negative,'you can make photo album in the photo app with io 5 but not protect them um user fix that quickly'
negative,'disappoint the knicks vs net game get cancel tonight but i \'m even more hyped for knicks vs heat on friday'
positive,'android 4 0 finally include photo editing tool google android ic'
positive,'game 3 tomorrow i \'m excite in this shit than the come pro bowl haha'
negative,'i really think hisd not_have school tomorrow because it be christopher columbus day'
positive,'user forget about dook now we own that series anyways let \'s beat state this saturday as we continue on to a succesful season'
positive,'lol the deadskins just sign another kicker'
positive,'wear my jedpower band to football today we not away since january let \'s see how it go happy user'
negative,'even our power in tok not_not_to do anything today so it change the language friday tokadventures pic twitter com ulo1svp5'
positive,'user dr mohamed morsi announce as egypt \'s 1st elect not the glorious 25th of jan revolution congratulations to egypt'
positive,'im enjoy celebrity juice instead of sleep go to be fooked tomorrow though'
negative,'eat mcdonald \'s and feel guilty so i \'m goin to 24 for an hour or 2 then to az tomorrow go and try and make my life better'
negative,'sister be rub it in my face the fact that she have school tomorrow and i do ulazysackofshit thalia its all love though lmao'
positive,'user lebron be a hometown hero to me lol i love the lakers but let \'s go cavs lol'
negative,'so user \'s iphone 4 be give her a hella hard time w the ios5 update user'
negative,'arianators please help me i \'m a girl who \'s body be very sore and just ask for ariana jennette \'s goodluck for tomorrow please :('
positive,'back when i work for nike we have one fav word : just do it happy'
negative,'user user 3rd :o where have i be i think careless world be the 1st one not _'
positive,'wait to raid cv tomorrow for the discount candy halloween'
positive,'i get over that shit lol hell naw twitter'
negative,'rt user how apple eclipse microsoft url lt ; microsoft \'s future be in the corporate world consumer'
positive,'dr mohamed morsi announce as egypt \'s 1st elect not the glorious 25th of jan revolution congratulations to egypt'
negative,'all i know be marana girl be bad as fuck and white if the one at the party i not_to with jaylon on saturday be marana tigers'
negative,'valor be official screwed tomorrow audis and bmws good in the snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch in on the new birthday party super bowl sunday treat URL'
positive,'russell howard then cuckoo then celebrity juice then family guy thursday night be the best night for comedy'
positive,'my sis win ticket for the jonas brother concert user canning on monday'
positive,'egypt \'s morsi get red carpet welcome in iran : tehran aug 29 : egypt \'s mohamed morsi be in iran for the first visit URL'
negative,'boo to not_googlemusic news us carrier news or price point google ic android'
negative,'open letter : steve ballmer please retire forbes please retweet msft need a techie leader url microsoft ballmer'
positive,'wish maddie luck next saturday she have a solo audition for nots get happy ellie xxxxx'
negative,'microsoft fail notresponding for fcucks sake URL'
positive,'url my profile of sandro i do kind of love him'
negative,'user give me my apps back'
negative,'what \'s worse than be stick in a time loop of groundhog day be stick in a monday loop'
positive,'14 feb 2011 happy valentine \'s day everybody i \'m go to buy cookie and stuff myself full'
positive,'so yeah user ios5 readinglists have change my life nowicanspendevenmoretimeonmyphone'
positive,'four now three tweet away from 9000 here \'s where i mention that i \'m pour wine for a friday night with diablo iii meta classy'
positive,'heat vs knicks first round of playoff tomorrow lebron wade better bring it'
positive,'user cassidy im jealous of your hair haha just sayingg'
negative,'user user please deliver my daughter \'s i she be drive me nut iphone'
negative,'USER these people not who mick jagger be you old old skool maybe but c \'mon mick jagger have a lot more years than you'
negative,'oh not_she not rt user i wait to make user lassyy listen to two hours of taylor swift during our drive tomorrow'
positive,'premier league : west ham v man city on saturday our preview look at the stats have some interesting bet tip : url'
