@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'user i love audio book \'the art war \' sun tzu read jim white mountainsandsea'
negative,'actual motive mdp \'s request join not _'
negative,'i i \'m 4th season oth i not_understand love lucas scott piss'
negative,'i not_think plan tomorrow smart i sit \'s day yolo'
positive,'user amsterdam tomorrow jacco'
positive,'rt user rt user home 1st day mts11 great time user user mv'
negative,'photo album photo app io 5 password protect um user fix quickly'
negative,'disappointed knicks net game cancel tonight i \'m hype knicks heat friday'
positive,'android 4 0 finally include photo editing tool google android ic'
positive,'game 3 tomorrow i \'m excite shit come pro bowl haha'
negative,'i think hisd not_have school tomorrow christopher columbus day'
positive,'user forget dook series \'s beat state saturday continue a succesful season'
positive,'lol deadskins sign kicker'
positive,'wear jedpower band football today not_won january \'s d user'
negative,'power in tok not_not_to today change language friday tokadventures pic twitter ulo1svp5'
positive,'user dr mohamed morsi announce egypt \'s 1st elect not glorious 25th jan revolution congratulations egypt'
positive,'im enjoy celebrity juice sleep fooked tomorrow'
negative,'eat mcdonald \'s feel guilty i \'m goin 24 hour 2 az tomorrow life'
negative,'sister rub face fact school tomorrow i ulazysackofshit thalia love lmao'
negative,'user \'s iphone 4 give a hella hard time w ios5 update user'
negative,'cofield hop dm stick 3rd year niggas tire lol'
negative,'arianators i \'m a girl \'s body sore ariana jennette \'s goodluck tomorrow'
negative,'user user 3rd o i i think careless world 1st not _'
positive,'wait raid cv tomorrow discount candy halloween'
positive,'i get shit lol hell naw twitter'
negative,'rt user apple eclipse microsoft url lt microsoft \'s future corporate world consumer'
positive,'dr mohamed morsi announce egypt \'s 1st elect not glorious 25th jan revolution congratulations egypt'
negative,'i marana girl bad fuck white party i not_to jaylon saturday marana tigers'
negative,'valor official screw tomorrow audis bmws good snow valorproblems richkidproblems letsgetoursecondcarsout'
positive,'entrepreneur angelinvestor pitch birthday party super bowl sunday treat URL'
positive,'russell howard cuckoo celebrity juice family guy thursday night night comedy'
positive,'sis win ticket jonas brother concert user canning monday'
positive,'egypt \'s morsi red carpet iran tehran aug 29 egypt \'s mohamed morsi iran visit URL'
negative,'boo not_googlemusic news carrier news price point google ic android'
negative,'open letter steve ballmer retire forbes retweet msft a techie leader url microsoft ballmer'
positive,'maddie luck saturday a solo audition nots not xxxxx'
negative,'microsoft fail notresponding fcucks sake URL'
positive,'URL profile sandro i kind love'
negative,'user give apps'
negative,'\'s worse stick a time loop groundhog day stick a monday loop'
positive,'14 feb 2011 happy valentine \'s day i \'m buy cookie stuff full'
positive,'yeah user ios5 readinglists change life nowicanspendevenmoretimeonmyphone'
positive,'tweet 9000 \'s i mention i \'m pour wine a friday night diablo iii meta classy'
negative,'u 2'
positive,'heat knicks playoff tomorrow lebron wade bring'
positive,'user cassidy im jealous hair haha sayingg'
negative,'user user deliver daughter \'s i drive nut iphone'
negative,'user people not mick jagger old skool c \'mon mick jagger a lot years'
negative,'not_she not_bgv rt user i wait user lassyy listen hours taylor swift drive tomorrow'
positive,'premier league west ham man city saturday preview stats interesting bet tip URL'
positive,'i learn mlb playoff cougar town a network i wait january poundinggrape pennycan'
positive,'user halloween good 3rd valentine \'s day'
negative,'ghost rider spirit vengeance a lose 1st movie decide dig a hole'
negative,'fuck u USER'
negative,'i not_a fan dream high 2 i not watch i watch 1st ep \'s i hear song'
negative,'google apps microsoft office 365 clear google apps top choice URL'
negative,'samsung google unveil phone URL'
negative,'ma ipas not_24 hours i jailbroke shagged itunes not restore user sym'
positive,'i \'m start concern send hashtags email p twitter life d'
negative,'amsterdam early a friday morning not_my ideal i not_to home'
positive,'good flacco show fight nd \'s i not _'
negative,'a reason swap io daft game android a desolate wasteland game URL'
positive,'i play rugby yesterday break finger worth pain game fun i remember'
negative,'user list star attraction aust china today rudd \'s office commit pr charge cancel friday'
negative,'apple ceo apologize error ridden map app apple ceo tim cook apologize friday company \'s error ridden mobile map'
negative,'rt user user not project resource need siri not reliable'
negative,'ghost rider 2 pretty shit i 1st honesty nd badly direct shaky camera style disorientate'
negative,'user u guy gay'
negative,'user c \'mon leo \'s endymion amsterdam i like amsterdam song shit compare i put'
positive,'user siri amazing'
negative,'cif piece not_to funny i unintentional sense ironically humourless URL'
negative,'i tweet user gary carter photo facepalm remove mets photo 2nd choice bad kid hold mets cap'
positive,'twitition mcfly argentina time not_to mar del plata URL'
positive,'user red tape \' jersey turn nonunion relief crew URL user user hmmm'
negative,'good evening cost warm pork chop oven wlf'
negative,'kind creepy search engine user url microsoft'
negative,'user cu'
positive,'whooped ass kill confirm user user tomorrow makin kat cry gear'
positive,'yay mars come a album december 11th i'
positive,'sit work i ferrell boxset put a film a power nap sit sound good'
