"positive","@skysportsnews I would love the audio book 'The Art Of War' by Sun Tzu, as read by Jim White!! #MountainsAndSea"
"negative","what is the actual motives behind MDP's request to join the government ??"
"negative","I know I'm only on the 4th season of OTH, but I don't understand why everyone loves Lucas Scott. He pisses me off."
"negative","I don't think my plans for tomorrow are smart considering I have SAT's the next day, well YOLO"
"positive","@JaccoGardner are you in Amsterdam tomorrow Jacco?"
"positive","RT @DariuszPorowski: RT Me too! @rem8: On my way home from 1st day of #MTS11. Had great time with @alead @DariuszPorowski and others #mv ..."
"negative","You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly."
"negative","Disappointed the Knicks vs Nets game got canceled tonight, but I'm even more hyped for Knicks vs Heat on Friday!"
"positive","Android 4.0 FINALLY includes photo editing tools. #Google #Android #ICS"
"positive","Game 3 tomorrow!!! I'm excited in this shit than the coming pro bowl haha"
"negative","I really thought HISD didn't have school tomorrow because it was Christopher Columbus day."
"positive","@Bryn2renner forget about Dook now we own that series anyways! let's ""Beat State"" this saturday as we continue on to a succesful season."
"positive","Lol the Deadskins just signed another kicker"
"positive","Wearing my Jedpower band to football today. We haven't won away since January. Let's see how it goes. :d @planetjedward"
"negative","Even our power point in TOK didn't want to do anything today, so it changed the language. #Friday #TOKadventures pic.twitter.com/uLo1SVP5"
"positive","@MaherZain: Dr Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt"
"positive","Im enjoying Celebrity Juice instead of sleep, going to be fooked tomorrow though"
"negative","Ate McDonald's and feel guilty so I'm goin to 24 for an hour or 2, then to AZ tomorrow, go and try and make my life better"
"negative","Sister is rubbing it in my face the fact that she has no school tomorrow and I do, #ULazySackOfShit Thalia Its all love though lmao"
"negative","So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple"
"negative","Cofield should have hopped off the DM sticks after his 3rd year. Niggas was tired of him lol"
"negative","Arianators please help me. I'm a girl who's body is very sore and just asking for Ariana & Jennette's goodluck for tomorrow. PLEASE :("
"negative","@EgyptianLover_ @Tyga 3rd??! :O where have I been I thought Careless World was the 1st one. No?"
"positive","Can't wait to raid CVS tomorrow for the discounted candy. #HALLOWEEN"
"positive","I cnt get over that shit lol hell naw #Twitter"
"negative","RT @guardiantech: How #Apple eclipsed #Microsoft http://t.co/GK6YjTFY &lt;- Microsoft's future is in the corporate world, not consumer"
"positive","Dr. Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt"
"negative","All I know is Marana girls are bad as fuck and white if the ones at the party I went to with jaylon on Saturday were Marana tigers."
"negative","Valor is official screwed tomorrow.. Audis and BMWs aren't good in the snow.... #ValorProblems #richkidproblems #letsgetoursecondcarsout"
"positive","#entrepreneur #angelinvestor pitch in on the new birthday party / Super Bowl Sunday treat http://www.indiegogo.com/projects/265398 "
"positive","Russell Howard, then Cuckoo, then Celebrity Juice, then Family Guy, Thursday night is the best night for comedy"
"positive","My Sis won tickets for the Jonas Brothers concert @ Fort Canning on Monday...."
"positive","Egypt's Morsi gets red carpet welcome in Iran: TEHRAN, Aug 29: Egypt's Mohamed Morsi is in Iran for the first visit... http://goo.gl/Bt6iL "
"negative","BOO to no GoogleMusic news, US carrier news, or price points. #google #ICS #android"
"negative","Open Letter: Steve Ballmer, Please Retire - Forbes - Please retweet! #MSFT needs a techie leader. http://t.co/E8uMRmro #microsoft #ballmer"
"positive","Wish Maddie luck next saturday, she has a solo audition for Britain's Got Talent! :) ~ Ellie xxxxx"
"negative","#microsoft fail #notresponding for fcucks sake  http://t.co/lCXa9q8P"
"positive","http://www.byfarthegreatestteam.com/posts/super-sandro-superb-for-spurs/ … My profile of Sandro. I do kind of love him."
"negative","@apple give me my apps back!!!"
"negative","What's worse than being stuck in a time loop of Groundhog day? Being stuck in a Monday loop."
"positive","14 feb 2011 - Happy Valentine's Day everybody. I'm going to buy cookies and stuff myself full."
"positive","So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone."
"positive","Four -- now three -- tweets away from 9000. Here's where I mention that I'm pouring wine for a Friday night with Diablo III. #meta #classy"
"negative","If u already seen Taken 2, tell me how was it!"
"positive","Heat vs Knicks first round of playoffs tomorrow!!! #Lebron#Wade better bring it!!!"
"positive","@meagan_cassidy im jealous of your hair..haha just sayingg"
"negative","@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone"
"negative","@llcoolj These people CANNOT know who Mick Jagger is...you ain't old, old skool maybe but c'mon! Mick Jagger has a lot more years than you!"
"negative","Oh no she didn't! BGV RT""@merfreistroffer: I can't wait to make @C_Lassyy listen to two hours of taylor swift during our drive tomorrow."""
"positive","Premier League: West Ham v Man City on Saturday. Our preview looks at the stats & has some interesting betting tips: http://www.betting.me/west-ham-v-man-city-betting-tips-preview/ …"
"positive","there is on thing I have learned from the MLB playoffs, Cougar Town on a new network. I can't wait till January. #poundinggrape #PENNYCAN!!!"
"positive","@DiscoveryUK #Halloween Good .. And who is the 3rd? Valentine's day? Or ?"
"negative","Ghost Rider: Spirit of Vengeance was a lost cause. You had nowhere to go but up after the 1st movie. And then you decided to dig a hole..."
"negative","fuck u @apple"
"negative","OBVIOUSLY, i am not a fan of Dream High 2 and i haven't even watched it! well, i watched the 1st ep,that's where i heard that song!^^"
"negative","#Google Apps vs. #Microsoft #Office 365: ""it is clear that Google Apps should be the top choice"" http://t.co/KDTD4zRe"
"negative","#Samsung, #Google Unveil Phone http://t.co/hOB37hbO"
"negative","Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!"
"positive","I'm starting to get really concerned, sending hashtags in emails :P #twitter is taking over our lives :D"
"negative","Being in Amsterdam this early on a friday morning is not my ideal, I just want to get home!"
"positive","Good to see Flacco showing some fight in the 2nd half. That's about all I can ask for at this point."
"negative","This may be a reason to swap, iOS has too many daft games. ""Android is a desolate wasteland when it comes to games."" http://www.wired.co.uk/news/archive/2012-10/31/android-games …"
"positive","I played rugby yesterday may have broken my finger but it was definitely worth the pain the game is more fun than I remember"
"negative","@KRuddMP listed as star attraction for Aust-China event today. Rudd's office say he never committed, PR in charge says he cancelled Friday."
"negative","Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the company's error-ridden new mobile map..."
"negative","This. RT @bonkoif Looks like @Apple did not appropriately project the resources needed for Siri. Not very reliable"
"negative","Ghost Rider 2 is pretty shit.. I liked the 1st one in all honesty but the 2nd is badly directed.. the shaky camera style is disorientating"
"negative","@apple u guys are gay"
"negative","@XochilihcoX C'mon Leo where's Endymion....... Or Amsterdam I know he likes Amsterdam. those songs are shit compared to the ones i put"
"positive","@apple Siri is amazing"
"negative","Is this CiF piece meant to be funny? I mean, other than in the unintentional sense of being ironically humourless http://www.guardian.co.uk/commentisfree/2012/oct/30/how-funny-twitter-austin-mitchell …"
"negative","After I tweeted about @MTLgazette Gary Carter photo #facepalm, they removed the Mets photo. 2nd choice almost as bad, Kid holding Mets cap."
"positive","#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo "
"positive","“@joelpollak: 'No Red Tape'? New Jersey Turns Away Nonunion Relief Crews http://shar.es/cBvdr  via @BreitbartNews” @GovChristie hmmm"
"negative","Good evening everyone! All cost and warm here and pork chops in the oven! #wlf"
"negative","This is kind of really creepy: Use your search engine the same way as @MileyCyrus would http://t.co/a050TG4L . . . #Microsoft"
"negative","@apple cu"
"positive","Just whooped some ASS in kill confirmed with @QuiKGunZ and @PBrasfieldATO, tomorrow its back to makin kats cry in Gears3"
"positive","Yay Bruno Mars is coming out with a new album on December 11th.(; I MUST HAVE IT!!"
"positive","Sat at work and I have the Will Ferrell boxset with me...Might put a film on or have a power nap OR sit here doing nothing; That sounds good"
"negative","RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade  ..."
"positive","#Kinect Makes Learning Playful with Help from #SesameStreet and #NationalGeographic #education #microsoft http://t.co/E5uhka8F"
"negative","@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made"
"negative","Wilth #Accessibility mode on in #SharePoint 2010, it seems that #Workflows sometimes do not start automatically #SP2010 #Workflow #Microsoft"
"positive","iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes"
"positive","Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”"
"negative","@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."
"positive","Lady boner from Channing Tatum in the Vow right now and the fact that I get McDonald's breakfast tomorrow with @megnoel5250 #winning"
"positive","Welcome Nick J! :"""") @nickjonas In Manila! So excited for the show on Friday."
"positive","Saturday's UFC on Fuel TV looks a lot better than the scheduled undercard of UFC 151. No surprise 151 got cancelled. http://www.ufc.com/event/FUEL5#/fight …"
"negative","@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO"
